round,test_accuracy,test_loss
0,0.1418,2.3024878925323486
1,0.1223,2.369843844604492
2,0.3803,2.12260612449646
3,0.5215,1.4916972303390503
4,0.5327,1.1752050580978393
5,0.7711,0.6887310807228089
6,0.7889,0.6029219413757324
7,0.8204,0.5312623801231384
8,0.8594,0.4594689576148987
9,0.8625,0.4284411608695984
10,0.874,0.407036595249176
11,0.891,0.36077874727249143
12,0.8814,0.3654640327453613
13,0.8702,0.4013146460533142
14,0.8887,0.35821290197372435
15,0.8998,0.32093010540008543
16,0.8894,0.34909172306060793
17,0.9028,0.30399353342056273
18,0.8841,0.3558707462310791
19,0.8918,0.3419413968086243
20,0.8525,0.43852630863189695
21,0.9098,0.2862969481945038
22,0.9018,0.30703397731781007
23,0.9046,0.3100739290237427
24,0.9144,0.27275965671539304
25,0.9237,0.263970139169693
