round,test_accuracy,test_loss
1,0.1268,2.1996630268096924
2,0.4318,1.6010778137207031
3,0.5949,1.060840054512024
4,0.6957,0.8894701272964477
5,0.6747,0.9091053886413574
6,0.7903,0.643875311088562
7,0.7882,0.5980123633384704
8,0.834,0.5220381941795349
9,0.8584,0.46602491998672485
10,0.8688,0.41343094835281374
11,0.839,0.47499817581176756
12,0.8585,0.43899492626190184
13,0.8394,0.45464935531616213
14,0.8174,0.47800823669433595
15,0.8384,0.448164998626709
16,0.8989,0.3213437161922455
17,0.8905,0.34540670471191404
18,0.8926,0.3382775755882263
19,0.9038,0.3111645067214966
20,0.8701,0.34944301071166994
21,0.9017,0.31337329840660094
22,0.8957,0.3144310517787933
23,0.9161,0.2586064754962921
24,0.9107,0.2681446461200714
25,0.8831,0.3459480374336243
