round,test_accuracy,test_loss
0,0.0926,2.301486562347412
1,0.2247,2.2095872512817385
2,0.9435,0.1912610477924347
3,0.9465,0.17698632578849793
4,0.9676,0.10168544511795044
5,0.9752,0.08094462089538575
6,0.9773,0.07193451161384583
7,0.9723,0.08639152648448944
8,0.9764,0.0806745027065277
9,0.9793,0.07009612374305725
10,0.9837,0.054579911768436434
11,0.9788,0.07666467387676239
12,0.9853,0.053965307319164275
13,0.9797,0.07069235190153123
14,0.9826,0.0628488401889801
15,0.9817,0.07640219249725341
16,0.9833,0.060167958307266234
17,0.9842,0.059842005884647366
18,0.9831,0.07241749868392944
19,0.9806,0.06830942335128784
20,0.9832,0.06381531550884247
21,0.9838,0.06683648376464844
22,0.9838,0.058654739069938656
23,0.9817,0.07255633044242858
24,0.978,0.0824051232099533
25,0.9802,0.07598911647796631
