round,test_accuracy,test_loss
0,0.0937,2.3052816108703613
1,0.601,1.3650014579772949
2,0.9329,0.2288470604419708
3,0.9492,0.1638871550798416
4,0.9639,0.1182689893245697
5,0.9717,0.09302199182510376
6,0.9699,0.0925439239025116
7,0.9714,0.08550287985801697
8,0.9775,0.07116463825702667
9,0.9804,0.06320402603149414
10,0.9805,0.0598651921749115
11,0.9762,0.06753315433263779
12,0.9834,0.05391201604604721
13,0.982,0.052318842148780825
14,0.9838,0.0518010488986969
15,0.9763,0.06989270012378693
16,0.9855,0.04687224370241165
17,0.9852,0.045321826124191285
18,0.9856,0.044531940877437594
19,0.986,0.04404262005090714
20,0.9832,0.04992094640731812
21,0.9861,0.04101623146533966
22,0.9871,0.03885592970252037
23,0.9875,0.037221965980529785
24,0.988,0.035246448504924775
25,0.988,0.034994831645488736
