round,test_accuracy,test_loss
0,0.0855,2.305405404281616
1,0.4186,1.7816370401382446
2,0.7765,0.655300306224823
3,0.842,0.442115100479126
4,0.8984,0.3095527512550354
5,0.9035,0.3031960004806519
6,0.9222,0.2413839696407318
7,0.9364,0.20526453323364258
8,0.9359,0.20650272183418275
9,0.9519,0.15537355766296387
10,0.9585,0.1455712245941162
11,0.958,0.13378003487586976
12,0.9524,0.14520072555541993
13,0.9626,0.12129104390144348
14,0.9608,0.11975119895935059
15,0.9496,0.1524043117284775
16,0.9689,0.09952045469284057
17,0.9679,0.10493723566532134
18,0.9692,0.09666873886585235
19,0.9711,0.09101866204738616
20,0.9681,0.09625266480445861
21,0.9708,0.08593073382377625
22,0.9743,0.07675404572486877
23,0.9706,0.08445815103054047
24,0.9739,0.07396135675907135
25,0.9729,0.07748867176771164
