round,test_accuracy,test_loss
1,0.7728,0.9646272844314575
2,0.8514,0.4386806434631348
3,0.932,0.2119849609851837
4,0.9563,0.15017382140159607
5,0.9627,0.12040261793136596
6,0.9655,0.10972746908664703
7,0.9565,0.14725645923614503
8,0.9667,0.10242366025447845
9,0.9727,0.08034103147983551
10,0.9758,0.07131506681442261
11,0.9757,0.07446356515884399
12,0.977,0.06838853187561035
13,0.9777,0.06804412062168122
14,0.9775,0.06660436990261077
15,0.9783,0.06541608238220215
16,0.9814,0.05330928444862366
17,0.9814,0.056205362355709075
18,0.9847,0.04684516104459763
19,0.984,0.04845976771116257
20,0.985,0.04594105550050735
21,0.9856,0.044574736630916593
22,0.9815,0.05460130138397217
23,0.9847,0.045734373736381534
24,0.9869,0.039487869131565094
25,0.9873,0.038054451084136964
