round,test_accuracy,test_loss
0,0.0974,2.3024732555389402
1,0.1028,2.306805519104004
2,0.1028,2.3566638599395753
3,0.1456,2.467982094192505
4,0.5987,1.2036065271377563
5,0.765,0.7486609619140625
6,0.7968,0.6155097054481506
7,0.784,0.7151912990570068
8,0.8461,0.4893545516014099
9,0.8181,0.5046281425476075
10,0.8649,0.4074259712219238
11,0.8445,0.46642060708999633
12,0.8783,0.3698027571678162
13,0.9022,0.31934721541404726
14,0.9021,0.3099752112865448
15,0.8978,0.33582103781700134
16,0.9167,0.2628667202949524
17,0.9076,0.28883761534690855
18,0.9065,0.28264157128334044
19,0.9094,0.28462380180358887
20,0.923,0.23709837737083436
21,0.9351,0.21234791574478148
22,0.9404,0.19306017136573791
23,0.9402,0.18934825625419616
24,0.9294,0.21089061946868898
25,0.9049,0.275201465177536
