round,test_accuracy,test_loss
0,0.0892,2.304445803833008
1,0.0974,2.3306618183135988
2,0.3762,2.079872792816162
3,0.6387,1.1742755243301393
4,0.7356,0.7745908084869385
5,0.8359,0.5407436418533326
6,0.8472,0.4975028907775879
7,0.8735,0.4217201194763184
8,0.8466,0.471458585357666
9,0.8758,0.3911762668609619
10,0.8893,0.35472792110443113
11,0.8786,0.3888051239967346
12,0.8991,0.3244308960914612
13,0.9128,0.28515589170455935
14,0.8644,0.4188431429862976
15,0.9051,0.29767921137809755
16,0.8995,0.3055961770057678
17,0.9047,0.29136079778671264
18,0.8913,0.3349993204116821
19,0.8873,0.3519958109855652
20,0.9245,0.2391230115413666
21,0.9196,0.2471467167854309
22,0.9222,0.25591402912139893
23,0.927,0.2283331172466278
24,0.9354,0.2111570641040802
25,0.9326,0.21290470933914185
