round,test_accuracy,test_loss
0,0.1033,2.3046530891418455
1,0.4261,1.705583609199524
2,0.8367,0.5691168629646302
3,0.8627,0.4235832748413086
4,0.908,0.2950383779525757
5,0.9218,0.2608663792133331
6,0.9296,0.23473967671394347
7,0.9349,0.2092955071926117
8,0.9413,0.191462806224823
9,0.9351,0.2044764498233795
10,0.9439,0.17056972131729126
11,0.9586,0.12528462781906127
12,0.963,0.12128447265625
13,0.9636,0.11236255097389221
14,0.9636,0.11329825143814087
15,0.9673,0.10376999869346619
16,0.9665,0.10366942930221558
17,0.9672,0.10136747903823852
18,0.9677,0.10067361824512482
19,0.9657,0.10216660237312317
20,0.96,0.11920726802349091
21,0.9721,0.08315474524497986
22,0.9732,0.08326414966583252
23,0.9722,0.08334807302951813
24,0.974,0.07848659982681275
25,0.9776,0.06662590715885162
