round,test_accuracy,test_loss
0,0.1028,2.303163037109375
1,0.1336,2.3172506626129152
2,0.1409,2.3625258136749268
3,0.4815,1.499912287902832
4,0.712,0.875789291191101
5,0.7656,0.7038093544006347
6,0.7523,0.7807194038391113
7,0.877,0.41210805006027224
8,0.8803,0.37948473701477053
9,0.8491,0.48103147258758544
10,0.9011,0.3102929720878601
11,0.8901,0.33841693925857547
12,0.8936,0.32644073119163514
13,0.8999,0.30478729820251466
14,0.932,0.2165371497154236
15,0.941,0.1877336284637451
16,0.941,0.18351669669151305
17,0.9531,0.15350391955375672
18,0.9487,0.15979469294548035
19,0.9378,0.20989230890274047
20,0.9481,0.15895383758544923
21,0.9573,0.1293808651447296
22,0.9584,0.1251676746368408
23,0.9629,0.11229325137138367
24,0.9652,0.10989000608921051
25,0.9614,0.1201660611152649
