round,test_accuracy,test_loss
0,0.0667,2.3070354793548584
1,0.6316,0.9730940902709961
2,0.9238,0.28465593066215517
3,0.9614,0.13242063896656037
4,0.9637,0.11787375979423523
5,0.9563,0.1283970151901245
6,0.9717,0.0815739047050476
7,0.9681,0.08914177241325379
8,0.9797,0.06060376658439636
9,0.9791,0.06222956290245056
10,0.9774,0.0670184811592102
11,0.9771,0.0645748212814331
12,0.9802,0.056183416187763215
13,0.9838,0.045962649440765384
14,0.9824,0.04845959379673004
15,0.9805,0.05611545442342758
16,0.9865,0.04199733806848526
17,0.9838,0.04950174684524536
18,0.9853,0.043355919015407564
19,0.9806,0.05681413691043854
20,0.9832,0.04969938036203384
21,0.9868,0.038665296816825866
22,0.9862,0.04094374008178711
23,0.9868,0.03887692211270332
24,0.9859,0.04238771711587906
25,0.9861,0.044063587409257886
