round,test_accuracy,test_loss
1,0.4956,1.6098602533340454
2,0.7929,0.6653925717353821
3,0.8235,0.5074712274551392
4,0.8842,0.363875063085556
5,0.9398,0.21905115466117858
6,0.9313,0.21376412677764892
7,0.95,0.16337793312072754
8,0.9537,0.14405899772644043
9,0.9523,0.1536673478603363
10,0.9648,0.11214310691356659
11,0.9634,0.11687990753650665
12,0.9674,0.10566329979896545
13,0.9695,0.09725041103363037
14,0.9639,0.11437034199237824
15,0.9711,0.09082195425033569
16,0.9715,0.08740239567756652
17,0.9712,0.08681121673583984
18,0.9718,0.08473017323017121
19,0.9703,0.0872044847726822
20,0.9759,0.07374032554626465
21,0.9774,0.07008198482990265
22,0.9784,0.06500359978675842
23,0.9723,0.0826098085641861
24,0.9803,0.06301833664178848
25,0.9768,0.06967684658765792
