round,test_accuracy,test_loss
1,0.101,2.494654084777832
2,0.2709,2.8351035610198974
3,0.3624,2.0552550628662107
4,0.38,2.072429120635986
5,0.6488,1.0555472539901734
6,0.6334,1.0017673351287841
7,0.7055,0.85674536819458
8,0.6161,0.9932557188034058
9,0.6416,1.0294668352127074
10,0.7673,0.7993263319015503
11,0.8194,0.5355997248649598
12,0.6699,0.9683356847763062
13,0.6228,1.0428086761474609
14,0.8105,0.5581043647766113
15,0.6949,0.8279776609420776
16,0.8142,0.6347931636810302
17,0.8412,0.4747405107498169
18,0.8075,0.5488807732582093
19,0.9036,0.31385164799690246
20,0.8068,0.5131323768615723
21,0.8747,0.36494738426208495
22,0.8201,0.5332787175178528
23,0.862,0.4094700065612793
24,0.8907,0.304540430021286
25,0.8868,0.3420852548599243
