round,test_accuracy,test_loss
1,0.155,2.2799486309051513
2,0.5275,1.7003211868286132
3,0.657,1.0544901216506959
4,0.7506,0.7480210823059082
5,0.7624,0.7055021360397339
6,0.8485,0.4737587666511536
7,0.8343,0.4983349136352539
8,0.8672,0.42411882610321044
9,0.8757,0.3986443450927734
10,0.8352,0.49903688230514526
11,0.8874,0.3643747169494629
12,0.8765,0.3815113938331604
13,0.8667,0.4300800587654114
14,0.8824,0.3565914178848267
15,0.9043,0.3137227032661438
16,0.9091,0.3102641338825226
17,0.8873,0.3403339718818665
18,0.8739,0.3796563104629517
19,0.901,0.31164333119392396
20,0.9164,0.2627267951965332
21,0.9156,0.27801482820510864
22,0.9099,0.28364946465492247
23,0.9304,0.22682060570716858
24,0.9256,0.23817057676315306
25,0.9291,0.22733975987434388
