round,test_accuracy,test_loss
1,0.1771,2.481571905899048
2,0.2832,2.197980815887451
3,0.5157,1.7311293537139893
4,0.5128,1.468974518585205
5,0.459,1.5429928518295288
6,0.5852,1.118442605781555
7,0.6512,1.135874592590332
8,0.6454,0.9147146955490112
9,0.666,0.9826619369506836
10,0.7974,0.6141460283279419
11,0.7616,0.7079437413215637
12,0.7244,0.7828760288238525
13,0.7269,0.7214656631469727
14,0.6395,0.9271464097976685
15,0.8353,0.4795474568367004
16,0.7851,0.5640461101531983
17,0.8466,0.47038704433441164
18,0.8317,0.5230483444213867
19,0.739,0.8122057104110718
20,0.8388,0.4846544075965881
21,0.8598,0.4227685807228088
22,0.8535,0.4459333870887756
23,0.8393,0.507111612033844
24,0.7958,0.5774641004562377
25,0.8194,0.5171112625122071
