round,test_accuracy,test_loss
0,0.1032,2.302499528503418
1,0.0982,2.3132988765716553
2,0.1009,2.357594134902954
3,0.1214,2.3272196727752688
4,0.4945,1.6035878450393677
5,0.6973,0.9162970827102661
6,0.7584,0.7768735088348389
7,0.7808,0.642427449798584
8,0.81,0.5853049520492554
9,0.8285,0.530685876750946
10,0.8234,0.5349000690460205
11,0.8841,0.3711712379455566
12,0.8995,0.3371697176933289
13,0.9063,0.3036314193725586
14,0.897,0.32308903903961184
15,0.897,0.3392236135482788
16,0.9194,0.26539313502311707
17,0.9102,0.28676663250923157
18,0.9002,0.30980401020050047
19,0.9214,0.2446328103542328
20,0.876,0.37481579027175904
21,0.9202,0.23786088724136353
22,0.9315,0.21755986337661742
23,0.9306,0.22245087676048278
24,0.9324,0.20715969047546387
25,0.9444,0.17611350169181825
