round,test_accuracy,test_loss
1,0.1798,2.2780458740234373
2,0.2953,2.1691130619049073
3,0.3737,2.0499515300750732
4,0.541,1.554385505104065
5,0.6836,1.1094712419509887
6,0.7487,0.889327385520935
7,0.7582,0.7603350894927978
8,0.7862,0.6583748859405517
9,0.8313,0.5682220413208008
10,0.843,0.5276754162788391
11,0.8058,0.5827563734054565
12,0.8618,0.451392294216156
13,0.8712,0.42986527109146117
14,0.8766,0.41706126413345335
15,0.877,0.40111904306411744
16,0.8731,0.4200981860160828
17,0.8861,0.38046249561309814
18,0.8823,0.3736280566215515
19,0.8996,0.33560950450897215
20,0.8765,0.3883702742576599
21,0.886,0.356238519859314
22,0.8954,0.3439949501991272
23,0.885,0.35763324556350706
24,0.898,0.32882477560043333
25,0.9008,0.3191681728363037
