round,test_accuracy,test_loss
0,0.1331,2.303214978790283
1,0.7679,0.8912817495346069
2,0.8706,0.3718242060661316
3,0.9279,0.22765183877944947
4,0.9459,0.17316644492149352
5,0.9424,0.17233443064689635
6,0.9605,0.1226794333934784
7,0.9628,0.11601569175720215
8,0.9707,0.09290134079456329
9,0.9733,0.08269606423377991
10,0.9692,0.09189658005237579
11,0.9668,0.09954398303031921
12,0.9775,0.07204738264083863
13,0.975,0.0716549171924591
14,0.9792,0.0634046600818634
15,0.9801,0.05955743293762207
16,0.9819,0.057655873155593874
17,0.9795,0.059022288393974304
18,0.9826,0.04794737864732742
19,0.9814,0.05645836615562439
20,0.9833,0.04770404561758041
21,0.9833,0.04991914801597595
22,0.9821,0.0531801478266716
23,0.982,0.05197381117343903
24,0.9768,0.06660084203481674
25,0.9813,0.05726485741138458
