round,test_accuracy,test_loss
0,0.1009,2.303962854003906
1,0.0974,2.315019924926758
2,0.0974,2.351738428878784
3,0.3662,2.0110463317871092
4,0.5794,1.1633379684448242
5,0.8157,0.5995814768791199
6,0.7475,0.6473119206428528
7,0.7846,0.5982546387672424
8,0.8842,0.36480122423171996
9,0.8769,0.3739831849098206
10,0.905,0.3119839921951294
11,0.9142,0.2784673351287842
12,0.918,0.2759518762111664
13,0.9285,0.22644891500473022
14,0.9269,0.23063888187408446
15,0.9331,0.20625851793289185
16,0.9402,0.18009025149345398
17,0.931,0.21111856784820557
18,0.9478,0.16067289428710937
19,0.9483,0.16584471731185912
20,0.9522,0.14614448871612548
21,0.9597,0.12963868165016174
22,0.9559,0.13981486191749573
23,0.9647,0.11308728606700898
24,0.9547,0.1332756732940674
25,0.9654,0.10896789507865906
