round,test_accuracy,test_loss
1,0.4705,1.9647203128814696
2,0.5689,1.2444403018951415
3,0.6083,1.25231211643219
4,0.691,0.9120130957603455
5,0.7389,0.7345639791488647
6,0.7118,1.09975821685791
7,0.8522,0.41508638687133786
8,0.9285,0.22030095710754394
9,0.9057,0.29425523624420163
10,0.8716,0.35921104655265806
11,0.8925,0.3014781449317932
12,0.9385,0.1842297926902771
13,0.8981,0.28770510292053225
14,0.9132,0.2414784098625183
15,0.9446,0.1787293016910553
16,0.9295,0.20512091045379638
17,0.9284,0.21828500809669493
18,0.9473,0.1578320296764374
19,0.8499,0.5177224655151367
20,0.9582,0.12229362900257111
21,0.9358,0.19166706357002258
22,0.9496,0.1470906128883362
23,0.8919,0.29292963194847105
24,0.9617,0.11970216484069825
25,0.9412,0.16999016213417054
