round,test_accuracy,test_loss
1,0.0892,2.248949461746216
2,0.4397,1.7710932691574097
3,0.7143,0.979229616355896
4,0.786,0.6741041058540345
5,0.8158,0.5719325609207153
6,0.8326,0.5184101128578186
7,0.8672,0.43028137044906617
8,0.8877,0.3790381332397461
9,0.8827,0.37996382761001585
10,0.8942,0.3537750663757324
11,0.8875,0.3568343674659729
12,0.8989,0.32919815940856934
13,0.8901,0.34518195724487305
14,0.9024,0.3107602294921875
15,0.9003,0.32177770566940306
16,0.9111,0.2875798697471619
17,0.8988,0.3209170557975769
18,0.9198,0.26226843795776367
19,0.9179,0.2640476390838623
20,0.9183,0.26472833032608034
21,0.9192,0.25949846029281615
22,0.9267,0.24400067977905274
23,0.9297,0.22672464957237243
24,0.9292,0.22357001700401305
25,0.9245,0.2413094983100891
