round,test_accuracy,test_loss
0,0.0952,2.3084298820495603
1,0.4707,1.4024274116516113
2,0.7582,0.7495094000816345
3,0.913,0.27393774724006653
4,0.9402,0.19272548809051512
5,0.9477,0.1607160399913788
6,0.961,0.12785098490715027
7,0.9568,0.1328930708885193
8,0.9655,0.10810310916900635
9,0.9605,0.11756155843734742
10,0.9686,0.09099501056671143
11,0.9718,0.08867022500038146
12,0.9667,0.09998007254600524
13,0.9765,0.06938940205574036
14,0.9769,0.06977280905246734
15,0.9609,0.11114282050132751
16,0.9754,0.07347097432613373
17,0.9727,0.07601197316646575
18,0.9788,0.06263867077827454
19,0.9795,0.058656403875350954
20,0.9758,0.06741299812793732
21,0.9794,0.06201438512802124
22,0.9816,0.05570527354478836
23,0.9833,0.0468110330581665
24,0.9811,0.05237446248531342
25,0.9814,0.05337951219081879
