round,test_accuracy,test_loss
0,0.1016,2.302524404144287
1,0.6397,1.3747156923294068
2,0.7793,0.6287833291053772
3,0.8804,0.3786813877105713
4,0.9131,0.2829107813358307
5,0.9073,0.28906656460762026
6,0.9351,0.2116314414024353
7,0.9473,0.18162626171112062
8,0.9544,0.15141077351570129
9,0.9545,0.14769955773353577
10,0.9584,0.13324136478900908
11,0.9581,0.1371885113954544
12,0.9364,0.18020777015686035
13,0.9528,0.14275607976913451
14,0.9553,0.1356394087791443
15,0.9686,0.0987503140449524
16,0.9714,0.08846366508007049
17,0.9722,0.08475577521324158
18,0.9735,0.08282822766304015
19,0.9746,0.08067561378479005
20,0.9732,0.0850991320848465
21,0.9763,0.07525171945095062
22,0.9754,0.07652440433502197
23,0.9743,0.07698765766620635
24,0.976,0.07064413170814514
25,0.9753,0.07297790381908417
