round,test_accuracy,test_loss
1,0.393,1.7073732107162476
2,0.6542,1.04177702293396
3,0.8452,0.4921449438095093
4,0.9463,0.17748923559188842
5,0.8544,0.38372318601608274
6,0.9357,0.19691841778755187
7,0.8949,0.3320738675117493
8,0.8842,0.30370900235176085
9,0.9311,0.20569881644248963
10,0.9087,0.2665194987297058
11,0.9624,0.1162528076171875
12,0.9415,0.1730797673225403
13,0.9711,0.09003395025730133
14,0.972,0.08811757102012634
15,0.9361,0.18410734577178955
16,0.9663,0.10478147592544555
17,0.9688,0.09549835171699524
18,0.9567,0.13272846820354461
19,0.9601,0.12043031361103058
20,0.9758,0.07831173651218415
21,0.9745,0.07758257769346237
22,0.9683,0.09893905055522918
23,0.9674,0.10313375387191773
24,0.9566,0.13452820069789886
25,0.9554,0.13454457750320434
