round,test_accuracy,test_loss
0,0.0593,2.30296990814209
1,0.1028,2.3080678833007813
2,0.7134,0.8284642206192017
3,0.851,0.44305277094841006
4,0.8613,0.4353083926677704
5,0.931,0.21036565957069397
6,0.9423,0.1706699573993683
7,0.9464,0.16030212568044663
8,0.9587,0.13981672503948211
9,0.9506,0.15370381398200988
10,0.955,0.14127289333343507
11,0.9578,0.1327205428957939
12,0.9436,0.16891630370616914
13,0.963,0.11874639438390731
14,0.9554,0.14367374002933503
15,0.9646,0.11819878743886948
16,0.9674,0.10309449739456177
17,0.964,0.11301678669452667
18,0.9591,0.13977042984962462
19,0.9545,0.13951420533657075
20,0.9675,0.1090544361114502
21,0.9636,0.12173350775241852
22,0.9579,0.149999657869339
23,0.9555,0.15645103282928466
24,0.9627,0.1360599905014038
25,0.9643,0.12176618971824646
