round,test_accuracy,test_loss
0,0.1418,2.3024878925323486
1,0.5885,1.1149439893722535
2,0.8531,0.43801718969345094
3,0.9343,0.2065289409160614
4,0.9487,0.16738291335105895
5,0.9664,0.10721801128387451
6,0.9663,0.10531369514465332
7,0.9728,0.08617236833572388
8,0.9768,0.0703235024213791
9,0.9796,0.06216901109218598
10,0.9804,0.058590706074237824
11,0.981,0.05867562465667724
12,0.983,0.05179888201951981
13,0.9854,0.04339992597103119
14,0.9841,0.05114461455345154
15,0.9848,0.04380397623181343
16,0.9846,0.04807658463716507
17,0.9874,0.03754966951608658
18,0.9823,0.052313636827468875
19,0.9853,0.04374328946471214
20,0.9827,0.05178558933734894
21,0.9868,0.0375751127243042
22,0.9873,0.04106789065003395
23,0.9871,0.03657283093333245
24,0.9875,0.037631268870830535
25,0.988,0.03359147000312805
