round,test_accuracy,test_loss
0,0.0892,2.3037475692749023
1,0.101,2.3052912086486814
2,0.0982,2.320879196166992
3,0.1028,2.341506078338623
4,0.131,2.359054885482788
5,0.6686,1.2012862657546997
6,0.7237,0.8459552894592285
7,0.7299,0.7904413202285766
8,0.8015,0.6204214517593384
9,0.8616,0.4456591959953308
10,0.8715,0.42453300437927244
11,0.7972,0.558904029083252
12,0.8797,0.36591136655807494
13,0.9044,0.29922520847320555
14,0.8847,0.34939197769165037
15,0.9164,0.2788895339012146
16,0.9223,0.2491743103981018
17,0.8991,0.2925133770465851
18,0.9244,0.24062473392486572
19,0.9362,0.2012204258441925
20,0.9413,0.18317160367965699
21,0.9358,0.20417850284576416
22,0.907,0.28531698660850524
23,0.9461,0.17070516390800475
24,0.9378,0.18884399008750916
25,0.9491,0.1607178514957428
