round,test_accuracy,test_loss
1,0.3287,1.7512038082122803
2,0.5494,1.3248668088912965
3,0.7217,0.7283785433769226
4,0.8747,0.4115368360519409
5,0.8591,0.3913866744995117
6,0.9242,0.24855612483024597
7,0.8776,0.3540280691623688
8,0.9416,0.17744690737724303
9,0.9465,0.16089012513160705
10,0.9325,0.20236278038024902
11,0.948,0.15505487282276154
12,0.9565,0.13136367731094362
13,0.9403,0.17388586082458496
14,0.9624,0.11244746131896972
15,0.9632,0.11360947287082672
16,0.9488,0.15211787581443786
17,0.9603,0.11704113848209381
18,0.9689,0.0901197027683258
19,0.9655,0.10285975542068482
20,0.9696,0.08906606476306915
21,0.9672,0.09639377827644348
22,0.9684,0.09415338125228882
23,0.969,0.0866190259218216
24,0.9627,0.10846521301269531
25,0.965,0.11888748025894165
