round,test_accuracy,test_loss
0,0.0301,2.3072010196685793
1,0.6645,1.0048116809844971
2,0.8061,0.5577185276985168
3,0.8542,0.44798726892471313
4,0.9209,0.24600777359008788
5,0.9458,0.1761515079975128
6,0.9553,0.13851334471702575
7,0.946,0.15645641102790833
8,0.9645,0.10976555352210998
9,0.9664,0.09871423072814942
10,0.9629,0.11122777276039124
11,0.9644,0.10383898258209229
12,0.9709,0.08606667878627777
13,0.9728,0.07847028298377991
14,0.9779,0.06382778022289276
15,0.9781,0.06402346246242523
16,0.9797,0.06365090646743775
17,0.9754,0.07214106113910675
18,0.9753,0.07438162806034088
19,0.9808,0.05463629479408264
20,0.9828,0.0510821422457695
21,0.9805,0.05580791336297989
22,0.98,0.061708172726631164
23,0.9832,0.04888706537485123
24,0.9816,0.055928891348838806
25,0.9833,0.04775532891750336
