round,test_accuracy,test_loss
0,0.1028,2.3030724365234376
1,0.1028,2.302879165649414
2,0.1028,2.311916639328003
3,0.1028,2.371320436477661
4,0.098,2.356444860458374
5,0.3968,1.9018937046051025
6,0.657,0.9979974838256835
7,0.7091,0.899949789428711
8,0.7453,0.7520598148345947
9,0.8602,0.4472479124069214
10,0.8499,0.4417064192771912
11,0.8723,0.40612717866897585
12,0.8841,0.35606132745742797
13,0.9084,0.28848005628585816
14,0.8857,0.3428628351211548
15,0.8954,0.3114542582988739
16,0.9327,0.21979649367332457
17,0.9224,0.23324010224342345
18,0.9333,0.2199411409854889
19,0.9323,0.21187634444236755
20,0.9368,0.19548847422599794
21,0.9491,0.16529694113731383
22,0.9527,0.14963928656578063
23,0.9522,0.15073280141353607
24,0.9432,0.17495263180732726
25,0.9551,0.14454997823238372
