round,test_accuracy,test_loss
1,0.691,1.4546529899597167
2,0.8156,0.710631778717041
3,0.8197,0.47249659481048584
4,0.9194,0.2889424744129181
5,0.916,0.26271906929016114
6,0.9411,0.19758063230514528
7,0.9469,0.17440268807411194
8,0.9554,0.14209678540229798
9,0.9531,0.14557986965179442
10,0.963,0.12484448142051696
11,0.9646,0.11897435038089753
12,0.9654,0.11411862595081329
13,0.9649,0.10890791435241699
14,0.9698,0.09302476720809937
15,0.9703,0.09520205018520356
16,0.9713,0.08685072462558746
17,0.9728,0.08153000872135162
18,0.9732,0.07870754613876343
19,0.9744,0.08004869277477264
20,0.9777,0.06902754545211792
21,0.9747,0.07517320885658264
22,0.977,0.06951962239742279
23,0.979,0.06385057640075684
24,0.979,0.06549429261684418
25,0.9808,0.05953260562419891
