round,test_accuracy,test_loss
1,0.5279,1.4171720108032226
2,0.6603,1.1626756160736085
3,0.9067,0.35742110929489135
4,0.9005,0.31694134740829466
5,0.9296,0.22687287940979003
6,0.7966,0.5627897912979126
7,0.9108,0.2813586309432983
8,0.9562,0.13039938015937805
9,0.9635,0.10769629468917846
10,0.9691,0.0958938191652298
11,0.9665,0.09692586176395417
12,0.9423,0.1892860782623291
13,0.9728,0.08434739303588867
14,0.9595,0.1200196277141571
15,0.9746,0.07614015505313873
16,0.9791,0.0628869801402092
17,0.9807,0.05720267707109451
18,0.9791,0.06395245062112809
19,0.9787,0.062369154441356656
20,0.9781,0.06220546363592148
21,0.9788,0.05916691070795059
22,0.9773,0.06815482587814331
23,0.9826,0.051727327942848206
24,0.9719,0.08468581573963166
25,0.9726,0.08051568734645843
