round,test_accuracy,test_loss
1,0.1032,2.2989921630859373
2,0.2253,2.1314587696075438
3,0.5294,1.7297970293045044
4,0.481,1.5748474878311158
5,0.6075,1.0984086971282958
6,0.7257,0.8338087532043457
7,0.6022,0.9895279706954956
8,0.8308,0.6093047058105469
9,0.7511,0.6995570372581482
10,0.7829,0.6088706098556519
11,0.8226,0.5364577751159668
12,0.8292,0.5359998973846436
13,0.8528,0.47605502700805663
14,0.7276,0.6992550505638122
15,0.8597,0.45170395374298095
16,0.8499,0.46610629539489745
17,0.8713,0.4079955303192139
18,0.8543,0.44454003229141237
19,0.8861,0.37147387342453003
20,0.8537,0.43048806171417237
21,0.8844,0.38023703451156615
22,0.8543,0.4362769835472107
23,0.87,0.3862846945762634
24,0.8951,0.33956637768745424
25,0.8963,0.32528252267837526
