round,test_accuracy,test_loss
1,0.1848,2.2962725791931153
2,0.2148,2.2402042221069336
3,0.5575,1.9697957328796387
4,0.6315,1.571680511856079
5,0.5971,1.2663182804107667
6,0.7393,0.8942009342193603
7,0.7692,0.7658890087127685
8,0.7935,0.6711132287979126
9,0.8471,0.53005397605896
10,0.8413,0.5308754487037659
11,0.8676,0.45508641204833983
12,0.8027,0.5804777882575989
13,0.8476,0.4685061478614807
14,0.8693,0.43806229372024535
15,0.8304,0.5084660808563233
16,0.8758,0.4140399847984314
17,0.8807,0.3925791380882263
18,0.8707,0.4152827207565308
19,0.8837,0.38406931715011594
20,0.8865,0.3608811168670654
21,0.8743,0.3911373529434204
22,0.9043,0.3263305895805359
23,0.8892,0.3440797871589661
24,0.8521,0.4412339295387268
25,0.8978,0.320771781539917
