round,test_accuracy,test_loss
0,0.0892,2.306194087600708
1,0.5944,1.12289746799469
2,0.9036,0.3242482193470001
3,0.9516,0.1630074589252472
4,0.9596,0.13552447361946107
5,0.963,0.1191706648349762
6,0.9595,0.12259648792743683
7,0.9733,0.0763500344991684
8,0.9748,0.07624770603179931
9,0.9692,0.09868176267147064
10,0.9759,0.07422915415763855
11,0.9794,0.0617724901676178
12,0.9716,0.09330196825265884
13,0.9777,0.06816653623580933
14,0.9804,0.05878006051778793
15,0.9844,0.04858397089242935
16,0.981,0.05596603294610977
17,0.9829,0.04962901262044907
18,0.9819,0.05309048526287079
19,0.9818,0.05501716143488884
20,0.9812,0.05526091691851616
21,0.9835,0.04519786201715469
22,0.9867,0.03814613205194473
23,0.9855,0.03923592654466629
24,0.9867,0.04070851773619652
25,0.9859,0.040285831719636914
